request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_232,617.24,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,Pay 1970.10 in full on 2024-08-15.
request_233,3535851.67,affordable_with_plan,partial_payment,2025-11-07:3535851.67|2025-12-15:2705148.33,2025-12-15,none,Pay 3535851.67 today and remaining 2705148.33 on 2025-12-15.
request_234,151.77,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,Pay 1213.30 in full on 2026-09-15.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Full payment of 967.20 on 2024-09-06 is safe.
request_236,6081340.68,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Full payment of 23826000 on 2026-04-05 is safe.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 payment(s) of 230.05 starting 2024-12-07.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Full payment of 642 on 2025-05-04 is safe.
request_240,14534.05,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use 3 payment(s) of 7298026.67 starting 2024-03-17.
request_242,55.24,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Full payment of 17468 on 2026-07-07 is safe.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Full payment of 49918 on 2024-06-04 is safe.
request_245,29194.88,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use 3 payment(s) of 22216.48 starting 2026-04-03.
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Full payment of 1059.30 on 2024-09-05 is safe.
request_248,929.02,affordable_with_plan,partial_payment,2025-02-07:929.02|2025-03-07:1036.58,2025-03-07,none,Pay 929.02 today and remaining 1036.58 on 2025-03-07.
request_249,163.67,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay 643.20 in full on 2026-03-15.
request_250,16056.71,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_251,1513.60,affordable_later,wait,2025-05-03:1513.60,2025-05-03,none,Pay 1513.60 in full on 2025-05-03.
request_252,3553677.74,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Pay 28082000 in full on 2026-09-15.
request_253,1383.13,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,Use 3 payment(s) of 984.60 starting 2024-03-21.
request_254,383.35,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,Pay 3535.20 in full on 2025-10-15.
request_255,0,affordable_later,wait,2026-04-06:3345000,2026-04-06,none,Pay 3345000 in full on 2026-04-06.
request_256,150837.08,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,Use 3 payment(s) of 75816 starting 2024-06-10.
request_257,467.42,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Full payment of 1113.60 on 2026-01-07 is safe.
request_259,251.54,affordable_later,wait,2024-10-15:935,2024-10-15,none,Pay 935 in full on 2024-10-15.
request_260,6999559.35,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Full payment of 1830.40 on 2026-07-03 is safe.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Full payment of 9236000 on 2024-12-05 is safe.
request_263,6129,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_264,23012.52,affordable_later,wait,2026-06-15:111300,2026-06-15,none,Pay 111300 in full on 2026-06-15.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Full payment of 45970 on 2024-03-06 is safe.
request_266,770.18,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Use 3 payment(s) of 324.13 starting 2025-08-03.
request_267,1557.72,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-03-18,none,Use 3 payment(s) of 667.33 starting 2026-01-08.
request_268,1061.93,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use 3 payment(s) of 841.22 starting 2024-06-14.
request_269,9664.79,affordable_later,wait,2025-12-15:15490,2025-12-15,none,Pay 15490 in full on 2025-12-15.
request_270,14.45,affordable_later,wait,2026-08-10:3028.80,2026-08-10,none,Pay 3028.80 in full on 2026-08-10.
request_271,18130.39,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Pay 91300 in full on 2024-11-15.
request_272,5420361.49,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Use 3 payment(s) of 4709466.67 starting 2025-02-12.
request_273,9476871.09,affordable_with_plan,partial_payment,2026-04-07:9476871.09|2026-04-15:6384128.91,2026-04-15,none,Pay 9476871.09 today and remaining 6384128.91 on 2026-04-15.
request_274,1960.33,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-02-12,none,Use 3 payment(s) of 940.75 starting 2024-12-04.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Full payment of 15884000 on 2025-05-06 is safe.
